model,fold,epoch,train_loss,val_loss,learning_rate
cnn_baseline_lsw,1,1,1.3236490885416667,1.511306643486023,0.001
cnn_baseline_lsw,1,2,1.2419179280598958,1.511317253112793,0.001
cnn_baseline_lsw,1,3,1.2663164933522542,1.5162330865859985,0.0005
cnn_baseline_lsw,1,4,1.1733481884002686,1.5274873971939087,0.0005
cnn_baseline_lsw,2,1,1.3088407913843791,1.108328938484192,0.001
cnn_baseline_lsw,2,2,1.2447351614634197,1.1144280433654785,0.001
cnn_baseline_lsw,2,3,1.2716267108917236,1.1229078769683838,0.0005
cnn_baseline_lsw,2,4,1.1909154653549194,1.1333777904510498,0.0005
cnn_baseline_lsw,3,1,1.2496390740076702,1.2716783285140991,0.001
cnn_baseline_lsw,3,2,1.2450036605199177,1.2696683406829834,0.001
cnn_baseline_lsw,3,3,1.240037441253662,1.268568754196167,0.001
cnn_baseline_lsw,3,4,1.2227275371551514,1.2679015398025513,0.001
cnn_baseline_lsw,3,5,1.1367091337839763,1.2697817087173462,0.001
cnn_baseline_lsw,3,6,1.1545827388763428,1.2744261026382446,0.0005
cnn_baseline_lsw,3,7,1.1026548147201538,1.2806767225265503,0.0005
cnn_baseline_lsw,4,1,1.3480041821797688,1.4332391023635864,0.001
cnn_baseline_lsw,4,2,1.2541145483652751,1.4334757328033447,0.001
cnn_baseline_lsw,4,3,1.1948367754618328,1.4297332763671875,0.001
cnn_baseline_lsw,4,4,1.2172000010808308,1.424882173538208,0.001
cnn_baseline_lsw,4,5,1.1510235865910847,1.4262003898620605,0.001
cnn_baseline_lsw,4,6,1.13313094774882,1.4344695806503296,0.0005
cnn_baseline_lsw,4,7,1.1012163559595745,1.4476163387298584,0.0005
cnn_baseline_lsw,5,1,1.2876614332199097,1.441900610923767,0.001
cnn_baseline_lsw,5,2,1.2131135861078899,1.440606951713562,0.001
cnn_baseline_lsw,5,3,1.2288636366526287,1.4392908811569214,0.001
cnn_baseline_lsw,5,4,1.1527970631917317,1.443639874458313,0.001
cnn_baseline_lsw,5,5,1.1528286933898926,1.4572288990020752,0.0005
cnn_baseline_lsw,5,6,1.1101115544637044,1.4723490476608276,0.0005
attention_bigru,1,1,1.3497531414031982,1.5188063383102417,0.001
attention_bigru,1,2,1.27060866355896,1.5190274715423584,0.001
attention_bigru,1,3,1.2101223071416218,1.5183794498443604,0.001
attention_bigru,1,4,1.1936317682266235,1.5224800109863281,0.001
attention_bigru,1,5,1.152367075284322,1.5378504991531372,0.0005
attention_bigru,1,6,1.1720800797144573,1.5571221113204956,0.0005
attention_bigru,2,1,1.320596734682719,1.1163438558578491,0.001
attention_bigru,2,2,1.2813764810562134,1.1217148303985596,0.001
attention_bigru,2,3,1.2143311103185017,1.1327332258224487,0.0005
attention_bigru,2,4,1.1709104379018147,1.1456490755081177,0.0005
attention_bigru,3,1,1.331667462984721,1.2705415487289429,0.001
attention_bigru,3,2,1.2681119044621785,1.2682517766952515,0.001
attention_bigru,3,3,1.2207794586817424,1.2628957033157349,0.001
attention_bigru,3,4,1.2008257706960042,1.2585724592208862,0.001
attention_bigru,3,5,1.184271772702535,1.2591036558151245,0.001
attention_bigru,3,6,1.1585650046666462,1.2695754766464233,0.0005
attention_bigru,3,7,1.0916155179341633,1.283810019493103,0.0005
attention_bigru,4,1,1.3146180709203084,1.4294309616088867,0.001
attention_bigru,4,2,1.2529672384262085,1.4227708578109741,0.001
attention_bigru,4,3,1.2414863506952922,1.4147143363952637,0.001
attention_bigru,4,4,1.1828629970550537,1.4120771884918213,0.001
attention_bigru,4,5,1.1805214484532673,1.4205228090286255,0.001
attention_bigru,4,6,1.1196772654851277,1.4468116760253906,0.0005
attention_bigru,4,7,1.1101064284642537,1.4743505716323853,0.0005
attention_bigru,5,1,1.297662377357483,1.4496816396713257,0.001
attention_bigru,5,2,1.2516498168309529,1.4488704204559326,0.001
attention_bigru,5,3,1.1910895903905232,1.4535470008850098,0.001
attention_bigru,5,4,1.1758500734965007,1.4685180187225342,0.0005
attention_bigru,5,5,1.1812387307484944,1.4887667894363403,0.0005
